stationId,stationName,parkingQRBikeCnt,parkingELECBikeCnt,stationLongitude,stationLatitude,parkingTotBikeCnt,goo,dong
ST-1653,287. 영등포전화국사거리 (서강어린이공원),0,0,126.90573883,37.52576828,0,영등포구,영등포동
ST-1677,288. 쌍용예가(구청별관),28,0,126.89338684,37.52809906,28,영등포구,양평1동
ST-1697,289. 대림3동사거리,9,3,126.89800262,37.49980927,12,영등포구,대림3동
ST-1698,290. 새말소공원,23,1,126.89782715,37.5315094,24,영등포구,당산2동
ST-1699,291. 문래동 하이테크 시티,71,2,126.89939117,37.51412964,73,영등포구,문래동
ST-1700,292. 영일 어린이공원,0,1,126.90406799,37.51012039,1,영등포구,도림동
ST-1701,293. 충북 미래관,0,0,126.90757751,37.52917099,0,영등포구,당산2동
ST-1967,295.영등포공원 분수대 앞,0,0,126.91170502,37.51481247,0,영등포구,영등포본동
ST-1968,296.KT플라자 영등포점,0,0,126.90538025,37.52630234,0,영등포구,영등포동
ST-1969,297.국회3문,1,1,126.91267395,37.52863693,2,영등포구,여의동
ST-1970,298.KBS 연구동 건너편,30,3,126.91429901,37.52750778,33,영등포구,여의동
ST-1971,299.여의도 순복음교회,2,0,126.92245483,37.53179169,2,영등포구,여의동
ST-116,300. 정동사거리,2,0,126.96923065,37.56805038,2,중구,소공동
ST-117,301. 경복궁역 7번출구 앞,11,1,126.97145081,37.57579422,12,종로구,사직동
ST-118,302. 경복궁역 4번출구 뒤,2,0,126.97406006,37.57594681,2,종로구,사직동
ST-119,303. 광화문역 1번출구 앞,13,1,126.97466278,37.57176971,14,종로구,사직동
ST-121,305. 종로구청 옆,23,2,126.97833252,37.57255936,25,종로구,종로1·2·3·4가동
ST-123,307. 서울역사박물관 앞,8,6,126.97109985,37.56999969,14,종로구,사직동
ST-124,308. 광화문 S타워 앞,55,5,126.97393799,37.56996918,60,종로구,사직동
ST-125,309. 광화문역 6번출구 옆 B,3,2,126.97615814,37.56996155,5,종로구,사직동
ST-126,310. 청계광장 옆,3,2,126.9774704,37.56887817,5,중구,명동
ST-130,314. 국립현대미술관,1,0,126.98085785,37.5797081,1,종로구,삼청동
ST-132,316. 종각역 1번출구 앞,13,1,126.98178864,37.57039642,14,종로구,종로1·2·3·4가동
